Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,64.4187,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,space,3.3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,space,0.6573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,y,4.1428,,,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,space,2.6145,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,space,8.152,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,space,3.106,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,space,5.8995,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,space,3.5811,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,recording_Mic_catpractice_ExperimentHandler_undefined,,,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,space,8.263,,,,,,,,,,,,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,4.3178,recording_Mic_cattestresgis_trials_0,space,6.2146,0,0,0,4,1,FOODS,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,1.0884,recording_Mic_cattestresgis_trials_1,space,1.9628,0,1,1,5,1,CLOTHING,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,3.0359,recording_Mic_cattestresgis_trials_2,space,12.0825,0,2,2,6,1,FLOWERS,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,0.4584,recording_Mic_cattestresgis_trials_3,space,4.3824,0,3,3,3,1,THINGS FOUND IN KITCHENS,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,2.135,recording_Mic_cattestresgis_trials_4,space,1.833,0,4,4,10,1,COUNTRIES,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,1.0671,recording_Mic_cattestresgis_trials_5,space,2.3623,0,5,5,9,1,FURNITURE,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,1.0352,recording_Mic_cattestresgis_trials_6,space,1.7781,0,6,6,1,1,TECHNOLOGY GADGETS & DEVICES,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,0.8149,recording_Mic_cattestresgis_trials_7,space,1.385,0,7,7,8,1,SPORTS,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,0.8802,recording_Mic_cattestresgis_trials_8,space,1.1961,0,8,8,12,1,NATURAL ENVIRONMENT,,
,,929641,001,2024-04-15_15h06.07.137,semantic_fluency_fullB,2023.1.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,space,0.2676,recording_Mic_cattestresgis_trials_9,space,0.3732,0,9,9,0,1,OFFICE SUPPLIES,,
