"","Subject","mean_num_items","sd_num_items"
"1","5885f97f41da4500014d3645",7.75,3.73210013646089
"2","5d7ff4aa50fda7001a863736",27.1428571428571,15.4102625051032
"3","5f1f3581b5cf3e103cc545c9",3.5,3.54562104171167
"4","5f5aa60bef062519ff711fe6",13.7142857142857,13.437686875777
"5","6001487015e5f62961639e7d",21.75,11.3483793682496
"6","600f9342e7bc5518fa9ca92a",7.5,2.61861468283191
"7","601f6a2231a2904b79df1671",22.625,16.4918811194218
"8","6073e0d481953bbd2cd61145",6.57142857142857,3.73528860362636
"9","6081806ab383aa89f6c61940",24.1428571428571,9.63376996868432
"10","60a48adfe091e410f4eaba34",14.7142857142857,10.0118976841603
"11","60d731567049e5132e3cc4d4",40,24.9341991191673
"12","60fef068101ae4f7dfa43c38",74,NA
"13","610c59ee34cc312d7ca55e45",13.1111111111111,7.2360977820308
"14","61363ce02e6022a741d63a6e",16.875,11.0639375579273
"15","629e241d171ec6698e05f149",14.875,6.26640703616172
"16","63619eb02e5bd8f4f7bd138a",11.7142857142857,6.39568306787961
"17","63e802622f8052bd67d6c5f0",11.625,8.29694436008135
"18","63ea4ab1ce4168cbe9f63775",29.2857142857143,21.0848625457087
"19","654108d38225e168af4b1fa0",20,10.7082522694727
"20","6554de7d91c1b1bf51104fda",18.2857142857143,10.0285307284481
"21","656e3caa43f1f7f0615252ff",28.4444444444444,30.3895998291813
"22","6596a5cad60ef105b6c18897",25,15.0111069989303
"23","65b15afd94153c1f50c92493",14.8333333333333,8.42417157153549
"24","65c25cf77dca9d7ca7d9ebdb",17.375,7.04956938907821
"25","65cb63e160bb47fbf9349269",13,8.36660026534076
"26","65cc19b4b3d48a22dfc6756d",8.28571428571429,4.02965199962667
"27","65d54b3b524fcafb543d1b23",12.7777777777778,4.26549463068991
"28","65d6a09286a0c99e632a46dd",13.8571428571429,10.415190371577
"29","65e1f75ab3efd22e847cfbf0",31.3333333333333,18.0831413200251
"30","65e358d9c5e3ee026268b2a7",15,6.32455532033676
"31","65e862f844f1b7a803bb3c5a",15.625,6.06953752062591
