Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,113.0613,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,space,1.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,space,0.5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,y,2.0775,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,space,4.0906,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,space,25.6798,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,space,17.0454,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,space,17.6,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,space,6.5945,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
