items,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Image_ins1.started,Key_ins1.started,Key_ins1.keys,Key_ins1.rt,Key_ins1.duration,Image_ins2.started,Key_ins2.started,Key_ins2.keys,Key_ins2.rt,Key_ins2.duration,Image_ins3.started,Key_ins3.started,Key_ins3.keys,Key_ins3.rt,Key_ins3.duration,Image_ins4.started,Key_ins4.started,Key_ins4.keys,Key_ins4.rt,Key_ins4.duration,Image_ins5.started,Key_ins5.started,Key_ins5.keys,Key_ins5.rt,Key_ins5.duration,Fixcross_Practice.started,Fixcross_Practice.stopped,Text_Catpracticeregis.started,Mic_catpractice.started,Mic_catpractice.clip,Image_ins6.started,Key_ins6.started,Key_ins6.keys,Key_ins6.rt,Key_ins6.duration,Image_ins7.started,Key_ins7.started,Key_ins7.keys,Key_ins7.rt,Key_ins7.duration,Fixcross_test.started,Fixcross_test.stopped,Text_cattextregis.started,Mic_cattestresgis.started,Mic_cattestresgis.clip,Image_ins8.started,Image_ins9.started,Key_ins9.started,Key_ins9.keys,Key_ins9.rt,Key_ins9.duration,Image_ins10.started,Key_ins10.started,Key_ins10.keys,Key_ins10.rt,Key_ins10.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,22.582473292015493,22.582473292015493,space,24.231598416983616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
,,,,,,,,,,46.866767375031486,46.866767375031486,space,36.7859153750469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
,,,,,,,,,,,,,,,83.70335466699908,83.70335466699908,space,9.610448291990906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
,,,,,,,,,,,,,,,,,,,,93.34594387502875,93.34594387502875,space,7.883027667005081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
,,,,,,,,,,,,,,,,,,,,,,,,,101.26413141703233,101.26413141703233,space,5.344196499965619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.63815595803317,107.2070418750518,107.2070418750518,-0.0005713750142604113,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/547183_PRE_PILOT_2024-04-10_13h14.12.045_Mic_catpractice_recorded/recording_Mic_catpractice_2024-04-10_13h17.46.786.wav,227.36271258303896,227.36271258303896,space,17.25051079201512,None,,,,,,,,,,,,,,,,,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
HOME APPLIANCES,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.73887370800367,244.73887370800367,space,7.18880075000925,None,251.95463225001004,252.5021325830021,252.5021325830021,0.007308750005904585,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/547183_PRE_PILOT_2024-04-10_13h14.12.045_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_13h20.12.114.wav,372.6851212500478,382.4780921250349,382.4780921250349,space,6.0987381669692695,None,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
HOLIDAYS,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.6432639580453,388.6432639580453,space,4.085403375036549,None,392.75636620802106,393.2966374170501,393.2966374170501,0.0062445830553770065,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/547183_PRE_PILOT_2024-04-10_13h14.12.045_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_13h22.32.910.wav,513.4899846250191,523.2805112500209,523.2805112500209,space,1.7630377089953981,None,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
LIQUIDS,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.1307748330291,525.1307748330291,space,2.0883477500174195,None,527.2410470000468,527.78053787502,527.78053787502,0.0038967080181464553,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/547183_PRE_PILOT_2024-04-10_13h14.12.045_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_13h24.47.373.wav,647.9493089170428,657.7482762919972,657.7482762919972,space,2.014197917014826,None,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
VEGETABLES,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.9045934580499,659.9045934580499,space,2.3248695009970106,None,662.259017000033,662.797284750035,662.797284750035,0.004442250006832182,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/547183_PRE_PILOT_2024-04-10_13h14.12.045_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_13h27.02.401.wav,782.9681306670536,792.7695752920117,792.7695752920117,space,2.317465749976691,None,,,,,,547183,001,2024-04-10_13h14.12.045,PRE_PILOT,2023.1.3,60.05887295223999,
