items,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Image_ins1.started,Key_ins1.started,Key_ins1.keys,Key_ins1.rt,Key_ins1.duration,Image_ins2.started,Key_ins2.started,Key_ins2.keys,Key_ins2.rt,Key_ins2.duration,Image_ins3.started,Key_ins3.started,Key_ins3.keys,Key_ins3.rt,Key_ins3.duration,Image_ins4.started,Key_ins4.started,Key_ins4.keys,Key_ins4.rt,Key_ins4.duration,Image_ins5.started,Key_ins5.started,Key_ins5.keys,Key_ins5.rt,Key_ins5.duration,Fixcross_Practice.started,Text_Catpracticeregis.started,Mic_catpractice.started,Mic_catpractice.clip,Image_ins6.started,Key_ins6.started,Key_ins6.keys,Key_ins6.rt,Key_ins6.duration,Image_ins7.started,Key_ins7.started,Key_ins7.keys,Key_ins7.rt,Key_ins7.duration,Fixcross_test.started,Fixcross_test.stopped,Text_cattextregis.started,Mic_cattestresgis.started,Mic_cattestresgis.clip,Image_ins8.started,Image_ins9.started,Key_ins9.started,Key_ins9.keys,Key_ins9.rt,Key_ins9.duration,Image_ins10.started,Key_ins10.started,Key_ins10.keys,Key_ins10.rt,Key_ins10.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,91.20978912501596,91.20978912501596,space,29.358611083007418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
,,,,,,,,,,120.64696308301063,120.64696308301063,space,13.788814750005258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
,,,,,,,,,,,,,,,134.4744320420141,134.4744320420141,space,13.429889999009902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
,,,,,,,,,,,,,,,,,,,,147.92638533300487,147.92638533300487,space,14.037906790996203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
,,,,,,,,,,,,,,,,,,,,,,,,,161.99259604199324,161.99259604199324,space,5.3465412499790546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3705832080159,167.94417737500044,0.0005494159995578229,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_catpractice_recorded/recording_Mic_catpractice_2024-04-02_13h10.00.458.wav,288.0929223750136,288.0929223750136,space,44.89418962498894,None,,,,,,,,,,,,,,,,,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
BODY PARTS,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.1272133750026,333.1272133750026,space,2.122275998990517,None,335.2724444170017,335.8118147919886,335.8118147919886,0.010653375007677823,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h12.48.352.wav,455.9597227500053,465.78511016699485,465.78511016699485,space,1.5749667909985874,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
MEANS OF TRANSPORT,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.442705124995,467.442705124995,space,1.5462791660102084,None,469.00679204199696,469.5445559170039,469.5445559170039,0.004585999995470047,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h15.02.101.wav,589.7245383750123,599.5169547499972,599.5169547499972,space,2.523427916021319,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
LIQUIDS,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.103491167014,602.103491167014,space,1.912834123999346,None,604.0414860419987,,604.5749106669973,0.005806250002933666,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h17.17.116.wav,724.7316885830078,734.5561209169973,734.5561209169973,space,18.375188958016224,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
VEGETABLES,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.0320672079979,753.0320672079979,space,1.256146792002255,None,754.3100685829995,,754.886948542,0.020726040995214134,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h19.47.381.wav,874.9965529170004,884.8104566250113,884.8104566250113,space,1.5807270830264315,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
FRUITS,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.4330220420088,886.4330220420088,space,1.4206114579865243,None,887.8776212079974,,888.4328780419892,0.0031003750045783818,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h22.00.946.wav,1008.5852773330116,1018.4012232499954,1018.4012232499954,space,2.184835041000042,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
TOOLS,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.6193807079981,1020.6193807079981,space,1.3779746660147794,None,1022.0289357079891,1022.5632499580097,1022.5632499580097,0.004884624999249354,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h24.15.094.wav,1142.7038772499945,1152.5393329579965,1152.5393329579965,space,14.511353541020071,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
HOBBIES,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.118956499995,1167.118956499995,space,1.3182479580282234,None,1168.4629497080168,1168.999849874992,1168.999849874992,0.0043196250044275075,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h26.41.526.wav,1289.154331208003,1298.9927363329916,1298.9927363329916,space,2.038191708008526,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
ANIMALS,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301.068034833006,1301.068034833006,space,1.3470366660039872,None,1302.430899583007,1302.9623273329926,1302.9623273329926,0.0016701670247130096,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h28.55.489.wav,1423.1137746250024,1432.9417284580122,1432.9417284580122,space,1.558408708020579,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
HOLIDAYS,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.5528417919995,1434.5528417919995,space,0.9467827909975313,None,1435.515952249989,1436.054452500015,1436.054452500015,0.005706041993107647,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h31.08.571.wav,1556.2037979580055,1566.0379321250075,1566.0379321250075,space,1.8210896250093356,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
MUSICAL INSTRUMENTS,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.9074771669984,1567.9074771669984,space,2.832746833009878,None,1570.7676746250072,1571.3046975420148,1571.3046975420148,0.0034809580247383565,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/610108_PRE_PILOT_2024-04-02_13h06.32.980_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_13h33.23.819.wav,1691.4505020829965,1701.2985069999995,1701.2985069999995,space,6.72790895801154,None,,,,,,610108,001,2024-04-02_13h06.32.980,PRE_PILOT,2023.1.3,59.71839801283355,
