items,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Image_ins1.started,Key_ins1.started,Key_ins1.keys,Key_ins1.rt,Key_ins1.duration,Image_ins2.started,Key_ins2.started,Key_ins2.keys,Key_ins2.rt,Key_ins2.duration,Image_ins3.started,Key_ins3.started,Key_ins3.keys,Key_ins3.rt,Key_ins3.duration,Image_ins4.started,Key_ins4.started,Key_ins4.keys,Key_ins4.rt,Key_ins4.duration,Image_ins5.started,Key_ins5.started,Key_ins5.keys,Key_ins5.rt,Key_ins5.duration,Fixcross_Practice.started,Text_Catpracticeregis.started,Mic_catpractice.started,Mic_catpractice.clip,Image_ins6.started,Key_ins6.started,Key_ins6.keys,Key_ins6.rt,Key_ins6.duration,Image_ins7.started,Key_ins7.started,Key_ins7.keys,Key_ins7.rt,Key_ins7.duration,Fixcross_test.started,Fixcross_test.stopped,Text_cattextregis.started,Mic_cattestresgis.started,Mic_cattestresgis.clip,Image_ins8.started,Image_ins9.started,Key_ins9.started,Key_ins9.keys,Key_ins9.rt,Key_ins9.duration,Text_cattextregis.stopped,Image_ins10.started,Key_ins10.started,Key_ins10.keys,Key_ins10.rt,Key_ins10.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,19.961843708000288,19.961843708000288,space,27.764451749999353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
,,,,,,,,,,47.774778250000054,47.774778250000054,space,17.97771820799926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
,,,,,,,,,,,,,,,65.77212145800013,65.77212145800013,space,16.61798241599945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
,,,,,,,,,,,,,,,,,,,,82.4213630420004,82.4213630420004,space,17.2304449989997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
,,,,,,,,,,,,,,,,,,,,,,,,,99.67095954200022,99.67095954200022,space,7.6599024579995785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.35928641700002,107.9122486250003,0.01613291700004993,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/538590_PRE_PILOT_2024-04-10_14h59.02.792_Mic_catpractice_recorded/recording_Mic_catpractice_2024-04-10_15h02.39.625.wav,228.01312866700027,228.01312866700027,space,8.606408415999795,None,,,,,,,,,,,,,,,,,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
NATURAL ENVIRONMENT,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.67330266700037,236.67330266700037,space,6.515359415999683,None,243.22093058300015,243.7606359170004,243.7606359170004,0.010148374999971566,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/538590_PRE_PILOT_2024-04-10_14h59.02.792_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_15h04.55.507.wav,363.87696841700017,373.73892029200033,373.73892029200033,space,4.517421749999812,None,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
TECHNOLOGY GADGETS & DEVICES,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.27501625000014,378.27501625000014,space,6.012961123999503,None,384.30575616700025,384.84418091700036,384.84418091700036,0.008492333000049257,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/538590_PRE_PILOT_2024-04-10_14h59.02.792_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_15h07.16.591.wav,504.9585114170004,514.8235831250004,514.8235831250004,space,15.581997748999584,None,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
ACCOMODATIONS,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.4241730420003,530.4241730420003,space,2.335903915999552,None,532.7905018330002,533.3220407920003,533.3220407920003,0.0018569579997347319,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/538590_PRE_PILOT_2024-04-10_14h59.02.792_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_15h09.45.074.wav,653.4455178750004,663.3090852920004,663.3090852920004,space,10.525551415999871,None,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
FURNITURE,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.8586950420004,673.8586950420004,space,2.000969124999756,None,675.8913474170004,676.4179998330001,676.4179998330001,0.0010534160001043347,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/538590_PRE_PILOT_2024-04-10_14h59.02.792_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-10_15h12.08.156.wav,796.5278325420004,806.3928579580001,806.3928579580001,space,2.206876540999474,None,,,,,,,538590,001,2024-04-10_14h59.02.792,PRE_PILOT,2023.1.3,60.07441730458868,
