Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
5d7ff4aa50fda7001a863736,painting,0.0001,7.714716746555538
5d7ff4aa50fda7001a863736,drawing,0.6867366183802854,7.941434326096744
5d7ff4aa50fda7001a863736,reading,0.5185178098288338,8.33151751916652
5d7ff4aa50fda7001a863736,pc games,0.3032099470537344,4.2693494692947205
5d7ff4aa50fda7001a863736,i'm,0.18306118399478066,8.364983489192282
5d7ff4aa50fda7001a863736,hiking,0.2296893451822154,6.601631022316016
5d7ff4aa50fda7001a863736,dancing,0.5146835778024071,7.386941737973041
5d7ff4aa50fda7001a863736,skating,0.6417492713419867,6.509726049165813
5d7ff4aa50fda7001a863736,skating,0.9999999999999998,6.509726049165813
5d7ff4aa50fda7001a863736,skateboarding,0.8568787630073823,5.285307461570708
5d7ff4aa50fda7001a863736,running,0.5317065601785561,8.091638029454867
5d7ff4aa50fda7001a863736,cooking,0.5435268072951607,7.442814391796466
5d7ff4aa50fda7001a863736,baking,0.8097667793420059,7.098062489801911
5d7ff4aa50fda7001a863736,cleaning,0.533279221793835,7.547219129902562
5d7ff4aa50fda7001a863736,basketball,0.38855937619397984,6.944456120153143
5d7ff4aa50fda7001a863736,soccer,0.7460275549314516,6.7350209195725474
5d7ff4aa50fda7001a863736,football,0.8823612978378682,7.318039761319612
5d7ff4aa50fda7001a863736,volleyball,0.621400206516692,6.211862961206843
5d7ff4aa50fda7001a863736,fishing,0.39682470581602836,7.761591280097002
5d7ff4aa50fda7001a863736,swimming,0.5959606188301041,7.308168630480959
5d7ff4aa50fda7001a863736,sketching,0.44051973578916903,6.346076463874791
5d7ff4aa50fda7001a863736,writing,0.6158072093012718,8.29420327936938
5d7ff4aa50fda7001a863736,cycling,0.3752762599751215,6.753149160493004
5d7ff4aa50fda7001a863736,singing,0.4335431711609251,7.509436427079525
5d7ff4aa50fda7001a863736,watching,0.44477629421648746,7.657281350022744
5d7ff4aa50fda7001a863736,journaling,0.2632015097480719,5.466606668835856
5d7ff4aa50fda7001a863736,gardening,0.2899941793196459,6.8631605345351785
5d7ff4aa50fda7001a863736,hunting,0.5169533606440082,7.5673475193773
5d7ff4aa50fda7001a863736,darts,0.47336475606142825,6.351895209680201
5d7ff4aa50fda7001a863736,sewing,0.3807461626981494,7.062475710082938
5d7ff4aa50fda7001a863736,knitting,0.7147387139746032,6.743197101286425
